"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"BNZ","BENZ MINING CORP.","Materials","23/12/2020",69679155
"BOA","BOADICEA RESOURCES LIMITED","Materials","11/10/2012",5046702
"BOC","BOUGAINVILLE COPPER LIMITED","Materials","31/12/1970",154409063
"BOD","BOD SCIENCE LIMITED","Consumer Discretionary Distribution & Retail","27/10/2016",13934056
"BOE","BOSS ENERGY LTD","Energy","25/07/2007",1041015373
"BOL","BOOM LOGISTICS LIMITED","Capital Goods","14/10/2003",53471776
"BOQ","BANK OF QUEENSLAND LIMITED.","Banks","24/08/1971",3917015889
"BOT","BOTANIX PHARMACEUTICALS LTD","Pharmaceuticals, Biotechnology & Life Sciences","24/01/1985",177799070
"BP8","BPH GLOBAL LTD","Pharmaceuticals, Biotechnology & Life Sciences","13/06/2000",3336824
"BPH","BPH ENERGY LTD","Financial Services","06/08/2004",21395416
"BPM","BPM MINERALS LIMITED","Materials","30/12/2020",6465277
"BPP","BABYLON PUMP & POWER LIMITED","Capital Goods","13/12/1996",12288857
"BPT","BEACH ENERGY LIMITED","Energy","30/06/1972",3410593816
"BRG","BREVILLE GROUP LIMITED","Consumer Durables & Apparel","25/05/1999",3131195334
"BRI","BIG RIVER INDUSTRIES LIMITED","Materials","01/05/2017",199235690
"BRK","BROOKSIDE ENERGY LIMITED","Energy","31/10/2005",60174548
"BRL","BATHURST RESOURCES LIMITED.","Materials","21/06/2013",189446182
"BRN","BRAINCHIP HOLDINGS LTD","Software & Services","09/11/2011",665646804
"BRU","BURU ENERGY LIMITED","Energy","01/09/2008",56624093
"BRX","BELARAROX LIMITED","Materials","28/01/2022",17417705
"BSA","BSA LIMITED","Commercial & Professional Services","15/11/1999",42905388
"BSE","BASE RESOURCES LIMITED","Materials","02/10/2008",194371955
"BSL","BLUESCOPE STEEL LIMITED","Materials","15/07/2002",9206989709
"BSN","BASIN ENERGY LIMITED","Energy","04/10/2022",10559861
"BSX","BLACKSTONE MINERALS LIMITED","Materials","23/01/2017",61579558
"BTC","BTC HEALTH LTD","Not Applic","29/08/2000",6482466
"BTE","BOTALA ENERGY LTD","Energy","14/07/2022",17704647
"BTH","BIGTINCAN HOLDINGS LIMITED","Software & Services","24/03/2017",282372687
"BTI","BAILADOR TECHNOLOGY INVESTMENTS LIMITED","Financial Services","21/11/2014",179637796
"BTN","BUTN LIMITED","Financial Services","06/07/2021",34773534
"BTR","BRIGHTSTAR RESOURCES LIMITED","Materials","05/12/2003",18888183
"BUB","BUBS AUSTRALIA LIMITED","Food, Beverage & Tobacco","05/10/1993",187839352
"BUD","BUDDY TECHNOLOGIES LTD","Consumer Durables & Apparel","18/12/2006","SUSPENDED"
"BUR","BURLEY MINERALS LTD","Materials","07/07/2021",16713965
"BUS","BUBALUS RESOURCES LIMITED","Materials","13/10/2022",5554189
"BUX","BUXTON RESOURCES LIMITED","Materials","23/10/2007",23122607
"BUY","BOUNTY OIL & GAS NL","Energy","05/02/2002",12334509
"BVR","BELLAVISTA RESOURCES LTD","Materials","25/05/2022",10692902
"BVS","BRAVURA SOLUTIONS LIMITED.","Software & Services","16/11/2016",221935231
"BWF","BLACKWALL LIMITED","Financial Services","21/10/2011",39475939
"BWP","BWP TRUST","Equity Real Estate Investment Trusts (REITs)","16/09/1998",2363972395
"BWX","BWX LIMITED","Household & Personal Products","11/11/2015","SUSPENDED"
"BXB","BRAMBLES LIMITED","Commercial & Professional Services","27/11/2006",19422478322
"BXN","BIOXYNE LIMITED","Household & Personal Products","14/12/2000",36131263
"BYE","BYRON ENERGY LIMITED","Energy","03/06/2005",83267423
"BYH","BRYAH RESOURCES LIMITED","Materials","17/10/2017",5528085
"C1X","COSMOS EXPLORATION LIMITED","Materials","01/12/2021",19066250
"C29","C29 METALS LIMITED","Materials","03/11/2021",4273989
"C79","CHRYSOS CORPORATION LIMITED","Commercial & Professional Services","06/05/2022",479904664
"C7A","CLARA RESOURCES AUSTRALIA LTD","Materials","21/10/2010",6616366
"CAA","CAPRAL LIMITED","Materials","20/11/1986",135199915
"CAE","CANNINDAH RESOURCES LIMITED","Materials","20/05/2005",84296993
"CAF","CENTREPOINT ALLIANCE LIMITED","Financial Services","25/06/2002",46267244
"CAG","CAPE RANGE LTD","Software & Services","30/11/2017",9490830
"CAI","CALIDUS RESOURCES LIMITED","Materials","13/03/1987",121522032
"CAJ","CAPITOL HEALTH LIMITED","Health Care Equipment & Services","09/06/2006",265880635
"CAM","CLIME CAPITAL LIMITED","Not Applic","03/02/2004",114050979
"CAN","CANN GROUP LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","04/05/2017",48576858
"CAQ","CAQ HOLDINGS LIMITED","Real Estate Management & Development","25/07/2005",7895649
"CAR","CARSALES.COM LIMITED.","Media & Entertainment","10/09/2009",8800495658
"CAT","CATAPULT GROUP INTERNATIONAL LTD","Technology Hardware & Equipment","19/12/2014",277604578
"CAV","CARNAVALE RESOURCES LIMITED","Materials","15/03/2007",20001310
"CAY","CANYON RESOURCES LIMITED","Materials","15/06/2010",67040589
"CAZ","CAZALY RESOURCES LIMITED","Materials","31/10/2003",13385585
"CBA","COMMONWEALTH BANK OF AUSTRALIA.","Banks","12/09/1991",175243502615
"CBE","COBRE LIMITED","Materials","31/01/2020",24100524
"CBH","COOLABAH METALS LIMITED","Materials","28/07/2022",6010200
"CBL","CONTROL BIONICS LIMITED","Health Care Equipment & Services","07/12/2020",8143113
"CBO","COBRAM ESTATE OLIVES LIMITED","Food, Beverage & Tobacco","11/08/2021",561293805
"CBR","CARBON REVOLUTION LIMITED","Automobiles & Components","29/11/2019",37126688
"CBY","CANTERBURY RESOURCES LIMITED","Materials","07/03/2019",4480229
"CCA","CHANGE FINANCIAL LIMITED","Financial Services","30/06/2016",31383069
"CCE","CARNEGIE CLEAN ENERGY LIMITED","Utilities","26/10/1993",15642574
"CCG","COMMS GROUP LTD","Telecommunication Services","21/12/2017",29755352
"CCO","THE CALMER CO INTERNATIONAL LIMITED","Household & Personal Products","20/12/2018",2256310
"CCP","CREDIT CORP GROUP LIMITED","Financial Services","04/09/2000",1602293790
"CCR","CREDIT CLEAR LIMITED","Software & Services","27/10/2020",84571164
"CCV","CASH CONVERTERS INTERNATIONAL","Financial Services","07/02/1997",138059903
"CCX","CITY CHIC COLLECTIVE LIMITED","Consumer Discretionary Distribution & Retail","28/05/1998",83776204
"CCZ","CASTILLO COPPER LIMITED","Materials","14/12/2010",11695548
"CD1","CD PRIVATE EQUITY FUND I","Not Applic","14/08/2012",29423700
"CD2","CD PRIVATE EQUITY FUND II","Not Applic","09/04/2013",65598858
"CD3","CD PRIVATE EQUITY FUND III","Not Applic","27/07/2016",104081067
"CDA","CODAN LIMITED","Technology Hardware & Equipment","27/11/2003",1387747600
"CDD","CARDNO LIMITED","Commercial & Professional Services","20/05/2004",15038355
"CDM","CADENCE CAPITAL LIMITED","Not Applic","05/12/2006",235247623
"CDO","CADENCE OPPORTUNITIES FUND LIMITED.","Not Applic","19/11/2021",29034172
"CDP","CARINDALE PROPERTY TRUST","Equity Real Estate Investment Trusts (REITs)","28/11/1996",299093250
"CDR","CODRUS MINERALS LIMITED","Materials","23/06/2021",5657250
"CDT","CASTLE MINERALS LIMITED","Materials","02/05/2006",15742902
"CDX","CARDIEX LIMITED","Health Care Equipment & Services","09/11/2005",25823794
"CE1","CALIMA ENERGY LIMITED","Energy","28/07/2006",55147569
"CEL","CHALLENGER GOLD LIMITED","Materials","07/11/2007",116729298
"CEN","CONTACT ENERGY LIMITED","Utilities","24/09/2015",5926474078
"CF1","COMPLII FINTECH SOLUTIONS LTD","Software & Services","18/12/2001",19232240
"CFO","CFOAM LIMITED","Capital Goods","26/10/2016","SUSPENDED"
"CG1","CARBONXT GROUP LIMITED","Materials","23/01/2018",17619128
"CGB","CANN GLOBAL LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","14/01/2008","SUSPENDED"
"CGC","COSTA GROUP HOLDINGS LIMITED","Food, Beverage & Tobacco","24/07/2015",1533542317
"CGF","CHALLENGER LIMITED","Financial Services","23/12/2003",4778917029
"CGO","CPT GLOBAL LIMITED","Software & Services","08/09/2000",11312289
"CGS","COGSTATE LTD","Health Care Equipment & Services","13/02/2004",259779221
"CHC","CHARTER HALL GROUP","Equity Real Estate Investment Trusts (REITs)","10/06/2005",5278648741
"CHK","COHIBA MINERALS LIMITED","Materials","01/02/2012",8452977
"CHL","CAMPLIFY HOLDINGS LIMITED","Transportation","28/06/2021",170805411
"CHM","CHIMERIC THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","18/01/2021",21176118
"CHN","CHALICE MINING LIMITED","Materials","24/03/2006",2233279745
"CHR","CHARGER METALS NL","Materials","09/07/2021",18944882
"CHW","CHILWA MINERALS LTD","Materials","05/07/2023",12768000
"CHZ","CHESSER RESOURCES LIMITED","Materials","29/05/2007",75046672
"CI1","CREDIT INTELLIGENCE LTD","Commercial & Professional Services","10/07/2008",13359866
"CIA","CHAMPION IRON LIMITED","Materials","08/06/2007",2973860475
"CII","CI RESOURCES LIMITED","Materials","24/07/1987","--"
"CIN","CARLTON INVESTMENTS LIMITED","Not Applic","30/06/1970",775707978
"CIO","CONNECTED IO LIMITED","Technology Hardware & Equipment","16/08/1984","SUSPENDED"
"CIP","CENTURIA INDUSTRIAL REIT","Equity Real Estate Investment Trusts (REITs)","13/12/2012",2006380807
"CIW","CLIME INVESTMENT MANAGEMENT LTD","Financial Services","15/12/2000",27534901
"CKA","COKAL LIMITED","Materials","17/04/2000",118684388
"CKF","COLLINS FOODS LIMITED","Consumer Services","04/08/2011",1186596718
"CL8","CARLY HOLDINGS LIMITED","Transportation","09/09/1996",5850519
"CLA","CELSIUS RESOURCES LIMITED.","Materials","24/03/1988",55338792
"CLB","CANDY CLUB HOLDINGS LIMITED","Consumer Staples Distribution & Retail","19/02/2019","SUSPENDED"
"CLE","CYCLONE METALS LIMITED","Materials","07/06/2001",10264505
"CLG","CLOSE THE LOOP LTD.","Commercial & Professional Services","02/12/2021",244265038
"CLT","CELLNET GROUP LIMITED","Technology Hardware & Equipment","17/11/1999",6333460
"CLU","CLUEY LTD","Consumer Services","09/12/2020",20161357
"CLV","CLOVER CORPORATION LIMITED","Materials","30/11/1999",195389229
"CLW","CHARTER HALL LONG WALE REIT","Equity Real Estate Investment Trusts (REITs)","08/11/2016",2906280973
"CLX","CTI LOGISTICS LIMITED","Transportation","02/12/1987",134010909
"CLZ","CLASSIC MINERALS LTD","Materials","24/05/2013",7929588
"CMD","CASSIUS MINING LIMITED","Materials","10/08/2006",18378944
"CMG","CRITICAL MINERALS GROUP LIMITED","Materials","27/09/2022",9918000
"CMM","CAPRICORN METALS LTD","Materials","07/07/2008",1767003423
"CMO","COSMO METALS LIMITED","Materials","31/01/2022",4821180
"CMP","COMPUMEDICS LIMITED","Health Care Equipment & Services","21/12/2000",30117701
"CMW","CROMWELL PROPERTY GROUP","Equity Real Estate Investment Trusts (REITs)","22/02/1973",1492754018
"CMX","CHEMX MATERIALS LIMITED","Materials","18/01/2022",7792826
"CNB","CARNABY RESOURCES LIMITED","Materials","30/08/2016",177402227
"CNI","CENTURIA CAPITAL GROUP","Equity Real Estate Investment Trusts (REITs)","26/03/2002",1315665726
"CNJ","CONICO LTD","Materials","18/06/2007",10990665
"CNQ","CLEAN TEQ WATER LIMITED","Commercial & Professional Services","02/07/2021",16205442
"CNU","CHORUS LIMITED","Telecommunication Services","21/11/2011",3339014142
"CNW","CIRRUS NETWORKS HOLDINGS LIMITED","Software & Services","10/02/2004",39060268
"COB","COBALT BLUE HOLDINGS LIMITED","Materials","02/02/2017",162825313
"COD","CODA MINERALS LTD","Materials","28/10/2020",32696115
"COE","COOPER ENERGY LIMITED","Energy","13/03/2002",381572033
"COF","CENTURIA OFFICE REIT","Equity Real Estate Investment Trusts (REITs)","10/12/2014",854191811
"COG","COG FINANCIAL SERVICES LIMITED","Financial Services","28/01/2003",253580727
"COH","COCHLEAR LIMITED","Health Care Equipment & Services","04/12/1995",15355354372
"COI","COMET RIDGE LIMITED","Energy","16/04/2004",181867155
"COL","COLES GROUP LIMITED.","Consumer Staples Distribution & Retail","21/11/2018",24291806342
"COO","CORUM GROUP LIMITED","Software & Services","28/07/1971",25687417
"COS","COSOL LIMITED","Software & Services","24/01/2020",126918551
"COY","COPPERMOLY LIMITED","Materials","31/01/2008",7421777
"CPM","COOPER METALS LIMITED","Materials","19/11/2021",6936848
"CPN","CASPIN RESOURCES LIMITED","Materials","25/11/2020",22152431
"CPO","CULPEO MINERALS LIMITED","Materials","10/09/2021",4030512
"CPT","CIPHERPOINT LIMITED","Software & Services","03/01/2007",6039885
"CPU","COMPUTERSHARE LIMITED.","Commercial & Professional Services","27/05/1994",15087196107
"CPV","CLEARVUE TECHNOLOGIES LIMITED","Capital Goods","25/05/2018",51035363
"CQE","CHARTER HALL SOCIAL INFRASTRUCTURE REIT","Equity Real Estate Investment Trusts (REITs)","22/05/2003",1105164339
"CQR","CHARTER HALL RETAIL REIT","Equity Real Estate Investment Trusts (REITs)","15/11/1995",2150549553
"CR1","CONSTELLATION RESOURCES LIMITED","Materials","30/07/2018",6238178
"CR9","CORELLA RESOURCES LTD","Materials","15/01/2008",12092363
"CRB","CARBINE RESOURCES LIMITED","Materials","16/03/2007",4965640
"CRD","CONRAD ASIA ENERGY LTD.","Energy","27/10/2022",263008334
"CRL","COMET RESOURCES LIMITED","Materials","02/03/1994","SUSPENDED"
"CRM","CARBON MINERALS LIMITED","Energy","31/12/1980","SUSPENDED"
"CRN","CORONADO GLOBAL RESOURCES INC.","Materials","23/10/2018",2766148655
"CRR","CRITICAL RESOURCES LIMITED","Materials","03/12/2010",87711518
"CRS","CAPRICE RESOURCES LTD","Materials","05/12/2018",4320006
"CSE","COPPER STRIKE LIMITED","Materials","24/11/2004","SUSPENDED"
"CSF","CATALANO SEAFOOD LTD","Food, Beverage & Tobacco","11/03/2022",4086324
"CSL","CSL LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","08/06/1994",128840829613
"CSR","CSR LIMITED","Materials","31/03/1962",2587419042
"CSS","CLEAN SEAS SEAFOOD LIMITED","Food, Beverage & Tobacco","12/12/2005",80262413
"CST","CASTILE RESOURCES LTD","Materials","14/02/2020",16933170
"CSX","CLEANSPACE HOLDINGS LIMITED","Health Care Equipment & Services","23/10/2020",22731102
"CT1","CONSTELLATION TECHNOLOGIES LIMITED","Technology Hardware & Equipment","08/10/1987",4413601
"CTD","CORPORATE TRAVEL MANAGEMENT LIMITED","Consumer Services","15/12/2010",2906029316
"CTE","CRYOSITE LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","09/05/2002",31726216
"CTM","CENTAURUS METALS LIMITED","Materials","12/01/1989",377188187
"CTN","CATALINA RESOURCES LTD","Materials","18/02/2010",6192434
"CTO","CITIGOLD CORPORATION LIMITED","Materials","23/12/1993",11494636
"CTP","CENTRAL PETROLEUM LIMITED","Energy","07/03/2006",46681937
"CTQ","CARETEQ LIMITED","Health Care Equipment & Services","10/01/2022",4695506
"CTT","CETTIRE LIMITED","Consumer Discretionary Distribution & Retail","18/12/2020",1178026100
"CTV","COLORTV LIMITED","Media & Entertainment","14/12/2017","SUSPENDED"
"CU6","CLARITY PHARMACEUTICALS LTD","Pharmaceuticals, Biotechnology & Life Sciences","25/08/2021",230436125
"CUE","CUE ENERGY RESOURCES LIMITED","Energy","11/12/1995",41887183
"CUF","CUFE LTD","Materials","13/10/2005",14491685
"CUL","CULLEN RESOURCES LIMITED","Materials","23/11/1988",5547200
"CUP","COUNT LIMITED","Commercial & Professional Services","22/12/2010",60225600
"CUS","COPPER SEARCH LIMITED","Materials","15/09/2021",17305668
"CUV","CLINUVEL PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","13/02/2001",892350704
"CVC","CVC LIMITED","Financial Services","27/06/1985",292060235
"CVL","CIVMEC LIMITED","Capital Goods","22/06/2018",469772760
"CVN","CARNARVON ENERGY LIMITED","Energy","16/08/1984",225023363
"CVR","CAVALIER RESOURCES LIMITED","Materials","17/06/2022",5205800
"CVV","CARAVEL MINERALS LIMITED","Materials","03/11/2006",124587937
"CVW","CLEARVIEW WEALTH LIMITED","Insurance","11/12/2003",310688165
"CWP","CEDAR WOODS PROPERTIES LIMITED","Real Estate Management & Development","31/08/1994",411049685
"CWX","CARAWINE RESOURCES LIMITED","Materials","14/12/2017",21649921
"CWY","CLEANAWAY WASTE MANAGEMENT LIMITED","Commercial & Professional Services","03/05/2005",6033118828
"CXL","CALIX LIMITED","Materials","20/07/2018",743041754
"CXM","CENTREX LIMITED","Materials","19/07/2006",89106709
"CXO","CORE LITHIUM LTD","Materials","11/02/2011",1616909611
"CXU","CAULDRON ENERGY LIMITED","Energy","28/01/2005",5589412
"CXX","CRADLE RESOURCES LIMITED","Materials","16/09/2011","SUSPENDED"
"CXZ","CONNEXION TELEMATICS LTD","Software & Services","01/01/1974",20833271
"CY5","CYGNUS METALS LIMITED","Materials","15/01/2018",63632103
"CYC","CYCLOPHARM LIMITED","Health Care Equipment & Services","18/01/2007",213855623
"CYG","COVENTRY GROUP LIMITED","Capital Goods","27/01/1966",99282568
"CYL","CATALYST METALS LIMITED","Materials","26/07/2006",163201595
"CYM","CYPRIUM METALS LIMITED","Materials","26/04/1985","SUSPENDED"
"CYP","CYNATA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","20/12/2007",24250291
"CYQ","CYCLIQ GROUP LTD","Consumer Durables & Apparel","21/11/2007",1737583
"CZN","CORAZON MINING LIMITED","Materials","30/06/2005",10985950
"CZR","CZR RESOURCES LTD","Materials","29/08/2006",37717543
"D2O","DUXTON WATER LIMITED","Utilities","16/09/2016",189084508
"DAF","DISCOVERY ALASKA LIMITED","Materials","22/09/2011",7027041
"DAL","DALAROO METALS LTD","Materials","28/09/2021",4047000
"DBF","DUXTON FARMS LTD","Food, Beverage & Tobacco","08/02/2018",55245798
"DBI","DALRYMPLE BAY INFRASTRUCTURE LIMITED","Transportation","08/12/2020",1363344584
"DBO","DIABLO RESOURCES LIMITED","Materials","12/10/2021",3725000
"DC2","DC TWO LIMITED","Software & Services","10/11/2020",2614322
"DCC","DIGITALX LIMITED","Software & Services","06/02/1989",32802838
"DCG","DECMIL GROUP LIMITED","Capital Goods","22/04/2005",26443877
"DCL","DOMACOM LIMITED","Financial Services","07/11/2016",13500555
"DCN","DACIAN GOLD LIMITED","Materials","14/11/2012",113162487
"DCX","DISCOVEX RESOURCES LIMITED","Materials","13/12/2007",8256420
"DDB","DYNAMIC GROUP HOLDINGS LIMITED","Capital Goods","06/08/2020",37910234
"DDH","DDH1 LIMITED","Materials","09/03/2021",389060617
"DDR","DICKER DATA LIMITED","Technology Hardware & Equipment","24/01/2011",1412487320
"DDT","DATADOT TECHNOLOGY LIMITED","Automobiles & Components","12/01/2005",4843811
"DEG","DE GREY MINING LIMITED","Materials","03/07/2002",2170559024
"DEL","DELOREAN CORPORATION LIMITED","Utilities","12/04/2021","SUSPENDED"
"DEM","DE.MEM LIMITED","Utilities","07/04/2017",42906051
"DES","DESOTO RESOURCES LIMITED","Materials","16/12/2022",9784500
"DEV","DEVEX RESOURCES LIMITED","Energy","03/10/2000",120503037
"DGH","DESANE GROUP HOLDINGS LIMITED","Real Estate Management & Development","04/09/1987",36000791
"DGL","DGL GROUP LIMITED","Materials","24/05/2021",269241089
"DGR","DGR GLOBAL LIMITED","Materials","21/08/2003",34441885
"DHG","DOMAIN HOLDINGS AUSTRALIA LIMITED.","Media & Entertainment","16/11/2017",2356081181
"DJW","DJERRIWARRH INVESTMENTS LIMITED","Not Applic","28/06/1995",763476156
"DKM","DUKETON MINING LIMITED","Materials","04/08/2014",39068873
"DLI","DELTA LITHIUM LIMITED","Materials","03/11/2017",485346560
"DLM","DOMINION MINERALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","19/03/2004",8356469
"DM1","DESERT METALS LIMITED","Materials","18/12/2020",4425006
"DMC","DESIGN MILK CO LIMITED","Media & Entertainment","24/03/1997","SUSPENDED"
"DME","DOME GOLD MINES LIMITED","Materials","22/10/2013",63578544
"DMG","DRAGON MOUNTAIN GOLD LIMITED","Materials","31/07/2007",3552045
"DMM","DMC MINING LIMITED.","Materials","22/12/2021",3800700
"DMP","DOMINO'S PIZZA ENTERPRISES LIMITED","Consumer Services","16/05/2005",4383247778
"DNA","DONACO INTERNATIONAL LIMITED","Consumer Services","23/12/2004",59298690
"DNK","DANAKALI LIMITED","Materials","17/10/2003","--"
"DOC","DOCTOR CARE ANYWHERE GROUP PLC","Health Care Equipment & Services","04/12/2020",22371253
"DOR","DORIEMUS PLC","Energy","29/09/2017","SUSPENDED"
"DOU","DOUUGH LIMITED","Telecommunication Services","15/06/2004",6887289
"DOW","DOWNER EDI LIMITED","Commercial & Professional Services","20/12/1990",3082523187
"DRA","DRA GLOBAL LIMITED","Capital Goods","09/07/2021",76504355
"DRE","DREADNOUGHT RESOURCES LTD","Materials","31/10/2006",202991421
"DRO","DRONESHIELD LIMITED","Capital Goods","22/06/2016",205416264
"DRR","DETERRA ROYALTIES LIMITED","Materials","23/10/2020",2447140695
"DRX","DIATREME RESOURCES LIMITED","Materials","22/06/2005",85784460
"DSE","DROPSUITE LIMITED","Software & Services","12/12/1985",193966853
"DSK","DUSK GROUP LIMITED","Consumer Discretionary Distribution & Retail","02/11/2020",76589474
"DTC","DAMSTRA HOLDINGS LIMITED","Software & Services","16/10/2019",30923567
"DTI","DTI GROUP LTD","Technology Hardware & Equipment","09/12/2014",7176823
"DTL","DATA#3 LIMITED","Software & Services","23/12/1997",1142487970
"DTM","DART MINING NL","Materials","10/05/2007",5857766
"DTR","DATELINE RESOURCES LIMITED","Materials","23/06/2011",19708042
"DTZ","DOTZ NANO LIMITED","Technology Hardware & Equipment","13/12/2007",114224541
"DUB","DUBBER CORPORATION LIMITED","Software & Services","30/06/2000",60390491
"DUG","DUG TECHNOLOGY LTD","Software & Services","12/08/2020",181910014
"DUI","DIVERSIFIED UNITED INVESTMENT LIMITED","Not Applic","19/12/1991",1081451088
"DUN","DUNDAS MINERALS LIMITED","Materials","10/11/2021",6268891
"DUR","DURATEC LIMITED","Capital Goods","04/11/2020",294044747
"DVL","DORSAVI LTD","Pharmaceuticals, Biotechnology & Life Sciences","11/12/2013",7793263
"DVP","DEVELOP GLOBAL LIMITED","Materials","27/04/2007",640208253
"DVR","DIVERGER LIMITED","Financial Services","02/08/2005",32776470
"DXB","DIMERIX LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","04/02/1993",27940251
"DXC","DEXUS CONVENIENCE RETAIL REIT","Equity Real Estate Investment Trusts (REITs)","27/07/2017",348524104
"DXI","DEXUS INDUSTRIA REIT.","Equity Real Estate Investment Trusts (REITs)","03/12/2013",869319559
"DXN","DXN LIMITED","Software & Services","11/04/2018",1721315
"DXS","DEXUS","Equity Real Estate Investment Trusts (REITs)","06/10/2004",8701322840
"DY6","DY6 METALS LTD","Class Pend","29/06/2023",10822500
"DYL","DEEP YELLOW LIMITED","Energy","19/12/1985",515328592
"DYM","DYNAMIC METALS LIMITED","Materials","16/01/2023",13715800
"E25","ELEMENT 25 LIMITED","Materials","09/11/2006",141394718
"E33","EAST 33 LIMITED..","Food, Beverage & Tobacco","29/07/2021",15572661
"E79","E79 GOLD MINES LIMITED","Materials","07/10/2021",6913397
"EAX","ENERGY ACTION LIMITED","Commercial & Professional Services","13/10/2011",6022720
"EBG","EUMUNDI GROUP LIMITED","Consumer Services","07/12/1989",50467140
"EBO","EBOS GROUP LIMITED","Health Care Equipment & Services","06/12/2013",6681385675
"EBR","EBR SYSTEMS INC.","Health Care Equipment & Services","24/11/2021",276463155
"ECF","ELANOR COMMERCIAL PROPERTY FUND","Equity Real Estate Investment Trusts (REITs)","06/12/2019",264324555
"ECG","ECARGO HOLDINGS LIMITED","Commercial & Professional Services","28/11/2014",8613500
"ECL","EXCELSIOR CAPITAL LTD","Capital Goods","22/04/1993",65527500
"ECP","ECP EMERGING GROWTH LIMITED","Not Applic","14/08/2014",20723169
"ECS","ECS BOTANICS HOLDINGS LTD","Pharmaceuticals, Biotechnology & Life Sciences","13/03/1986",25454805
"ECT","ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.","Commercial & Professional Services","05/02/1986",17336274
"EDC","EILDON CAPITAL GROUP","Financial Services","28/02/2017",46226676
"EDE","EDEN INNOVATIONS LTD","Energy","06/06/2006",8990833
"EDU","EDU HOLDINGS LIMITED","Consumer Services","25/06/2004",26434311
"EDV","ENDEAVOUR GROUP LIMITED","Consumer Staples Distribution & Retail","24/06/2021",10835429103
"EEG","EMPIRE ENERGY GROUP LIMITED","Energy","30/08/1984",115968172
"EEL","ENRG ELEMENTS LTD","Materials","01/07/2011",12110811
"EFE","EASTERN RESOURCES LIMITED","Materials","16/05/2008",14282384
"EG1","EVERGREEN LITHIUM LIMITED","Materials","11/04/2023",58850448
"EGG","ENERO GROUP LIMITED","Media & Entertainment","30/04/2004",166201767
"EGH","EUREKA GROUP HOLDINGS LIMITED","Real Estate Management & Development","01/07/2004",135478556
"EGL","ENVIRONMENTAL GROUP LIMITED (THE)","Capital Goods","12/02/1981",76931180
"EGN","ENGENCO LIMITED","Capital Goods","14/12/2006",129416605
"EGR","ECOGRAF LIMITED","Materials","29/10/2010",79203578
"EGY","ENERGY TECHNOLOGIES LIMITED","Capital Goods","22/10/1992",14519373
"EHE","ESTIA HEALTH LIMITED","Health Care Equipment & Services","05/12/2014",751830609
"EHL","EMECO HOLDINGS LIMITED","Capital Goods","28/07/2006",358111804
"EIQ","ECHOIQ LIMITED","Software & Services","17/12/2010",81370472
"EL8","ELEVATE URANIUM LTD","Energy","23/10/1985",81969921
"ELD","ELDERS LIMITED","Food, Beverage & Tobacco","30/06/1981",1115677973
"ELE","ELMORE LTD","Materials","25/02/1998",9795687
"ELS","ELSIGHT LIMITED","Technology Hardware & Equipment","08/06/2017",44344276
"ELT","ELEMENTOS LIMITED","Materials","23/12/2009",32132114
"EM2","EAGLE MOUNTAIN MINING LIMITED","Materials","16/03/2018",41170527
"EMB","EMBELTON LIMITED","Capital Goods","01/01/1974",22657499
"EMC","EVEREST METALS CORPORATION LTD","Energy","18/10/2006",22003629
"EMD","EMYRIA LIMITED","Health Care Equipment & Services","12/02/2020",36231044
"EME","ENERGY METALS LTD","Energy","09/09/2005",22016748
"EMH","EUROPEAN METALS HOLDINGS LIMITED","Materials","19/07/2012",146212974
"EML","EML PAYMENTS LIMITED","Financial Services","18/01/2006",325366192
"EMN","EURO MANGANESE INC","Materials","02/10/2018",84560538
"EMP","EMPEROR ENERGY LIMITED","Energy","05/06/1987",4167368
"EMR","EMERALD RESOURCES NL","Materials","22/07/1994",1369562526
"EMS","EASTERN METALS LIMITED","Materials","25/10/2021",5110427
"EMT","EMETALS LIMITED","Not Applic","26/10/2010",7650000
"EMU","EMU NL","Materials","27/02/2008",3625053
"EMUCA","EMU NL","Materials","27/02/2008",3625053
"EMV","EMVISION MEDICAL DEVICES LTD","Health Care Equipment & Services","13/12/2018",92329532
"ENA","ENSURANCE LTD","Insurance","23/09/2011",17580405
"ENN","ELANOR INVESTORS GROUP","Consumer Services","11/07/2014",255976577
"ENR","ENCOUNTER RESOURCES LIMITED","Materials","24/03/2006",189852375
"ENT","ENTERPRISE METALS LIMITED","Materials","20/06/2007",3747355
"ENV","ENOVA MINING LIMITED","Materials","13/04/2007",2345576
"ENX","ENEGEX LIMITED","Materials","08/10/2013",9960732
"EOF","ECOFIBRE LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","29/03/2019",55874328
